url,title,city,district,ward_commune,street,area,bed,toilet,legal_status,furniture,price
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-luong-minh-nguyet-phuong-tan-thoi-hoa-prj-carillon-7/-ban-gap-ch-7-phu-dt-72m2-2pn-2wc-gia-3ty-co-so-lh-hoa-pr38717555,"Cần bán gấp CH Carillon 7, Tân Phú, DT 72m2, 2PN - 2WC, giá 3tỷ, có sổ, LH: 0989 236 *** Hoa",Hồ Chí Minh,Tân Phú,Phường Tân Thới Hòa,Đường Lương Minh Nguyệt,72 m²,2,2,Sổ đỏ/ Sổ hồng,Đầy đủ.,3
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-luong-minh-nguyet-phuong-tan-thoi-hoa-prj-carillon-7/-ban-gap-ch-7-phu-dt-72m2-2pn-2wc-gia-3ty-co-so-lh-hoa-pr38717555,"Cần bán gấp CH Carillon 7, Tân Phú, DT 72m2, 2PN - 2WC, giá 3tỷ, có sổ, LH: 0989 236 *** Hoa",,,,,72 m²,2,2,Sổ đỏ/ Sổ hồng,Đầy đủ.,3
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-an-phu/b-gap-2pn-sieu-xinh-chi-4-6x-ty-lh-ngay-em-vy-zalo-viber-pr38740331,Bán gấp căn hộ 2PN Masteri An Phú siêu xinh chỉ 4.6x tỷ. LH ngay em Vy: 0938 659 ***zalo/viber),,,,,71 m²,2,2,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,65"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-nguyen-thi-dinh-phuong-an-phu-prj-can-ho-dlusso/-1pn-1-54-m2-chi-tu-3-ty-3-4-ty-mua-ngay-tro-xem-nha-24-24-lh-ngay-0947853002-pr33906584,"Căn 2PN - 68,5m2 chỉ từ 3,55 tỷ mua ngay D'Lusso view sông, bao thuế phí. LH ngay 0948 395 ***",Hồ Chí Minh,Quận 2,Phường An Phú,Đường Nguyễn Thị Định,"68,5 m²",2,2,Sổ đỏ/ Sổ hồng.,Đầy đủ,"3,55"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-quoc-lo-13-phuong-26-prj-the-morning-star-plaza/chinh-chu-ban-gap-90m2-co-ban-cong-so-ng-tien-ich-boi-vinmart-pr27612848,"Chính chủ cần bán gấp căn hộ The Morning Star, 90m2 có ban công sổ hồng",,,,,90 m²,2,2,Sổ hồng,Đầy đủ,"3,5"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-to-hien-thanh-phuong-14-5-prj-kingdom-101/-ban-gap-cao-cap-101-quan-10-2pn-72m2-gia-5-ty-lh-a-pr38701136,"Cần bán gấp căn hộ cao cấp Kingdom 101 - Quận 10, 2PN, 72m2, giá 5 tỷ, LH: 0989 236 *** Hoa",,,,,72 m²,2,2,Sổ hồng,Đầy đủ,5
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-the-sun-avenue/ban-nhanh-3pn-view-truc-dien-song-sg-4-5-ty-bao-thue-phi-q2-pr38743014,Bán nhanh căn 3PN view trực diện sông SG chỉ 4.5 tỷ bao thuế phí - The Sun Avenue Q2,Hồ Chí Minh,Quận 2,Phường An Phú,Đường Mai Chí Thọ,87 m²,3,2,Sổ hồng,Đầy đủ,"4,5"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-phan-chu-trinh-phuong-12-7-prj-chung-cu-1050-chu-van-an/-ban-chcc-1050-dt-60m2-2pn-2wc-chir2ty350-bao-phi-sang-ten-cong-chung-pr38387652,Cần bán CHCC 1050 - DT 60m2 - 2PN 2WC chỉ 1tỷ850 bao phí sang tên công chứng,,,,,60 m²,2,2,Sổ đỏ/ Sổ hồng.,Cơ bản.,5
https://batdongsan.com.vn//ban-nha-rieng-phuong-linh-trung/lan-dau-tien-co-1-tret-1-lau-xe-hoi-gan-kha-van-can-can-ban-gap-gia-thuong-luong-pr38743306,Lần đầu tiền có Nhà 1 trệt 1 lầu - xe hơi - gần Kha Vạn Cân - cần bán gấp - giá thương lượng -,,,,,38 m²,2,2,Sổ đỏ/ Sổ hồng.,Cơ bản.,"3,75"
https://batdongsan.com.vn//ban-nha-rieng-duong-16-5-phuong-linh-chieu/ngop-giam-ngay-1-ty-2-tang-gan-hoang-dieu-2-dt-73m2-4-2-ty-pr38743169,"Ngộp - giảm ngay 1 tỷ - nhà 2 tầng - Gần Hoàng Diệu 2 - Dt 73m2 - 4,2 Tỷ",,,,,73 m²,3,2,Sổ đỏ/ Sổ hồng,Cơ bản.,"4,2"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-vo-van-kiet-phuong-an-lac-6-prj-akari-city-nam-long/chua-khi-nao-mua-lai-duoc-nhieu-uu-dai-va-chinh-sach-tot-nhu-hien-nay-pr37235762,Chưa khi nào mua Akari City lại được nhiều ưu đãi và chính sách tốt như hiện nay,,,,,61 m²,2,2,Hợp đồng mua bán,Cơ bản.,"3,45"
https://batdongsan.com.vn//ban-nha-rieng-duong-thanh-loc-29-phuong-thanh-loc-3/giam-300-trieu-1-sec-tl29-ngay-trung-tam-loc-pr38462016,"Giảm 300 triệu nhà 1 sẹc TL29, ngay trung tâm Thạnh Lộc",Hồ Chí Minh,Quận 12,Phường Thạnh Lộc,Đường Thạnh Lộc 29,72 m²,3,2,Sổ đỏ/ Sổ hồng,Cơ bản,"3,2"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-nguyen-luong-bang-1-phuong-tan-phu-19-prj-green-view/chu-nha-cuc-ky-thien-chi-ban-ko-phai-chao-choi-nen-ban-nhanh-ch-dt-106m-gia-4-9ty-chot-pr38743211,Chủ nhà cực kỳ thiện chí bán ko phải chào chơi nên bán nhanh CH Green View DT 106m2 giá 4.9tỷ chốt,,,,,106 m²,3,2,Sổ đỏ/ Sổ hồng,Đầy đủ,"4,9"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-quach-giai-phuong-thanh-my-loi-prj-thu-thiem-dragon/chinh-chu-ban-goc-2pn-ma-a09-view-cong-vien-lh-0911083838-pr31335177,"Cần bán căn góc 2PN có 2 bancon Thủ Thiêm Dragon nội thất cơ bản, đã có sổ hồng. LH 0911 083 ***",Hồ Chí Minh,Quận 2,Phường  Thạnh Mỹ Lợi,Đường Quách Giai,82 m²,2,2,Sổ đỏ/ Sổ hồng.,Đầy đủ,"4,7"
https://batdongsan.com.vn//ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/chu-nha-gui-ban-1pn-tri-an-hon-400trieu-so-voi-gia-goc-loai-1pn-dep-dien-tich-54-m2-pr38742106,Chủ nhà gửi bán căn 1PN + - Tri ân hơn 400triệu so với giá gốc loại: 1PN + Căn đẹp diện tích: 54 m2,,,,,54 m²,1,1,Hợp đồng mua bán,Cơ bản,"3,1"
https://batdongsan.com.vn//ban-nha-rieng-duong-thanh-xuan-35-phuong-thanh-xuan/-gan-truong-cao-dang-dien-luc-4x20m-pr37767938,"Nhà gần trường Cao đẳng Điện Lực, 4x20m",,,,,80 m²,2,1,Sổ đỏ/ Sổ hồng,Cơ bản,"3,35"
https://batdongsan.com.vn//ban-nha-mat-pho-duong-tien-lan-17-xa-ba-diem/-90m2-ngang-5-chi-5-2-ty-17-hm-pr36063828,"Mặt tiền 90m2 chỉ 5.4 tỷ giảm sốc 800tr xuống còn 4.6 tỷ, ngang 5m Tiền Lân 17",Hồ Chí Minh,Hóc Môn,Xã Bà Điểm,Đường Tiền Lân 17,90 m²,4,4,Sổ hồng,Cơ bản,"4,6"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-thoai-ngoc-hau-phuong-phu-trung-prj-res-green-tower/ban-tan-84m2-3pn-2wc-gia-3-9-ty-lh-minh-pr38161119,"Bán căn hộ chung cư Res Green Tower, Tân Phú. 84m2 3PN-2WC. Giá: 3,9 tỷ. LH: 0967 575 *** Minh",,,,,84 m²,3,2,Sổ hồng,Cơ bản,"3,9"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-thoai-ngoc-hau-phuong-hoa-thanh-prj-res-green-tower/ban-q-tan-phu-84m2-3pn-2wc-gia-3-9-ty-lh-hung-pr38161144,"Bán căn hộ Res Green Tower, Q. Tân Phú, 84m2, 3pn, 2wc giá: 3.9 tỷ, LH: 0933 313 *** Hưng",,,,,84 m²,3,2,Sổ hồng,Cơ bản,"3,9"
https://batdongsan.com.vn//ban-nha-rieng-duong-hiep-thanh-42-phuong-hiep-thanh-3/-vi-tri-giao-thong-thuan-loi-4-phong-ngu-rong-pr38037214,Nhà vị trí giao thông thuận lợi - 4 phòng ngủ rộng,Hồ Chí Minh,Quận 12,Phường Hiệp Thành,Đường Hiệp Thành 42,56 m²,4,3,Sổ đỏ/ Sổ hồng,Cơ bản,"3,21"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-thoai-ngoc-hau-phuong-hoa-thanh-prj-res-green-tower/ban-resgreen-tan-phu-79m2-2pn-2wc-gia-3-5-ty-lh-hung-pr38234165,"Bán căn hộ chung cư Res Green, Tân Phú. 79m2 2PN - 2WC. Giá: 3,5 tỷ. LH: 0933 313 *** Hưng",,,,,79 m²,2,2,Sổ đỏ/ Sổ hồng,Cơ bản,"3,5"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-thoai-ngoc-hau-phuong-hoa-thanh-prj-res-green-tower/ban-resgreen-tan-phu-79m2-2pn-2wc-gia-3-5-ty-lh-hung-pr38234165,"Bán căn hộ chung cư Res Green, Tân Phú. 79m2 2PN - 2WC. Giá: 3,5 tỷ. LH: 0933 313 *** Hưng",,,,,79 m²,2,2,Sổ đỏ/ Sổ hồng,Cơ bản,"3,5"
https://batdongsan.com.vn//ban-nha-rieng-duong-tan-thoi-hiep-13-phuong-tan-thoi-hiep/ban-13-p-dt-4x18m-cn-75m2-2-lau-st-gia-4-5-ty-tl-pr37913215,"Bán nhà đường Tân Thới Hiệp 13, P. Tân Thới Hiệp, DT: 4x18m, CN: 75m2, 2 lầu, ST, giá: 4,5 tỷ TL",,,,,75 m²,2,2,Sổ đỏ/ Sổ hồng,Cơ bản,"4,5"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-the-sun-avenue/ban-nhanh-109m2-3pn-co-noi-that-gia-chot-4-950-ty-pr38460245,"Bán nhanh căn 109m2 The Sun Avenue - 3PN có nội thất giá chốt - 4,950 tỷ",Hồ Chí Minh,Quận 2,Phường An Phú,Đường Mai Chí Thọ,109 m²,3,2,Hợp đồng mua bán,Đầy đủ,"4,95"
https://batdongsan.com.vn//ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-the-sun-avenue/sieu-re-tien-ban-nhanh-cho-ai-thien-3pn-co-noi-that-gia-4-070-ty-pr38315675,"Siêu rẻ - cần tiền bán nhanh cho ai thiện chí - 3PN The Sun Avenue có nội thất giá 4,070 tỷ",,,,,80 m²,3,2,Hợp đồng mua bán,Đầy đủ,"4,07"
